Geography,Year,Category,Industry Space Use,Value
City of Melbourne,2023,Jobs by industry,Accommodation,10286
City of Melbourne,2026,Jobs by industry,Accommodation,11631
City of Melbourne,2032,Jobs by industry,Accommodation,13207
City of Melbourne,2034,Jobs by industry,Accommodation,13420
City of Melbourne,2035,Jobs by industry,Accommodation,13529
City of Melbourne,2021,Jobs by industry,Admin and support services,15813
City of Melbourne,2025,Jobs by industry,Admin and support services,17852
City of Melbourne,2026,Jobs by industry,Admin and support services,18361
City of Melbourne,2032,Jobs by industry,Admin and support services,20098
City of Melbourne,2035,Jobs by industry,Admin and support services,21208
City of Melbourne,2037,Jobs by industry,Admin and support services,21832
City of Melbourne,2040,Jobs by industry,Admin and support services,22591
City of Melbourne,2021,Jobs by industry,Agriculture and mining,2881
City of Melbourne,2026,Jobs by industry,Agriculture and mining,2651
City of Melbourne,2027,Jobs by industry,Agriculture and mining,2718
City of Melbourne,2028,Jobs by industry,Agriculture and mining,2786
City of Melbourne,2036,Jobs by industry,Agriculture and mining,3197
City of Melbourne,2041,Jobs by industry,Agriculture and mining,3386
City of Melbourne,2021,Jobs by industry,Arts and recreation services,25840
City of Melbourne,2029,Jobs by industry,Arts and recreation services,28367
City of Melbourne,2031,Jobs by industry,Arts and recreation services,29507
City of Melbourne,2032,Jobs by industry,Arts and recreation services,30076
City of Melbourne,2036,Jobs by industry,Arts and recreation services,32261
City of Melbourne,2038,Jobs by industry,Arts and recreation services,33236
City of Melbourne,2040,Jobs by industry,Arts and recreation services,34235
City of Melbourne,2024,Jobs by industry,Business services,86943
City of Melbourne,2032,Jobs by industry,Business services,104843
City of Melbourne,2040,Jobs by industry,Business services,126199
City of Melbourne,2041,Jobs by industry,Business services,128834
City of Melbourne,2021,Jobs by industry,Construction,6731
City of Melbourne,2024,Jobs by industry,Construction,7232
City of Melbourne,2030,Jobs by industry,Construction,8277
City of Melbourne,2037,Jobs by industry,Construction,8939
City of Melbourne,2040,Jobs by industry,Construction,9169
City of Melbourne,2041,Jobs by industry,Construction,9243
City of Melbourne,2028,Jobs by industry,Education and training,31700
City of Melbourne,2038,Jobs by industry,Other services,16104
City of Melbourne,2023,Jobs by industry,"Electricity, gas, water and waste services",11789
City of Melbourne,2030,Jobs by industry,"Electricity, gas, water and waste services",11531
City of Melbourne,2036,Jobs by industry,"Electricity, gas, water and waste services",11987
City of Melbourne,2040,Jobs by industry,"Electricity, gas, water and waste services",12235
City of Melbourne,2041,Jobs by industry,"Electricity, gas, water and waste services",12299
City of Melbourne,2027,Jobs by industry,Finance and insurance,72226
City of Melbourne,2028,Jobs by industry,Finance and insurance,72619
City of Melbourne,2035,Jobs by industry,Finance and insurance,76414
City of Melbourne,2037,Jobs by industry,Finance and insurance,77681
City of Melbourne,2039,Jobs by industry,Finance and insurance,78865
City of Melbourne,2027,Jobs by industry,Food and beverage services,43391
City of Melbourne,2028,Jobs by industry,Food and beverage services,44434
City of Melbourne,2029,Jobs by industry,Food and beverage services,45490
City of Melbourne,2030,Jobs by industry,Food and beverage services,46566
City of Melbourne,2032,Jobs by industry,Food and beverage services,48105
City of Melbourne,2036,Jobs by industry,Food and beverage services,49675
City of Melbourne,2041,Jobs by industry,Food and beverage services,51582
City of Melbourne,2022,Jobs by industry,Health care and social assistance,45387
City of Melbourne,2024,Jobs by industry,Health care and social assistance,49642
City of Melbourne,2029,Jobs by industry,Health care and social assistance,59886
City of Melbourne,2030,Jobs by industry,Health care and social assistance,61927
City of Melbourne,2031,Jobs by industry,Health care and social assistance,63973
City of Melbourne,2032,Jobs by industry,Health care and social assistance,65278
City of Melbourne,2041,Jobs by industry,Health care and social assistance,76440
City of Melbourne,2021,Jobs by industry,Information media and telecommunications,26240
City of Melbourne,2025,Jobs by industry,Information media and telecommunications,26118
City of Melbourne,2029,Jobs by industry,Information media and telecommunications,26919
City of Melbourne,2031,Jobs by industry,Information media and telecommunications,27434
City of Melbourne,2037,Jobs by industry,Information media and telecommunications,29224
City of Melbourne,2040,Jobs by industry,Information media and telecommunications,29991
City of Melbourne,2022,Jobs by industry,Manufacturing,12636
City of Melbourne,2025,Jobs by industry,Manufacturing,12208
City of Melbourne,2027,Jobs by industry,Manufacturing,12061
City of Melbourne,2029,Jobs by industry,Manufacturing,12044
City of Melbourne,2033,Jobs by industry,Manufacturing,11978
City of Melbourne,2034,Jobs by industry,Manufacturing,11952
City of Melbourne,2036,Jobs by industry,Manufacturing,11902
City of Melbourne,2021,Jobs by industry,Other services,12198
City of Melbourne,2026,Jobs by industry,Other services,13510
City of Melbourne,2031,Jobs by industry,Other services,15007
City of Melbourne,2035,Jobs by industry,Other services,15648
City of Melbourne,2036,Jobs by industry,Other services,15802
City of Melbourne,2041,Jobs by industry,Other services,16555
City of Melbourne,2022,Jobs by industry,Public administration and safety,47210
City of Melbourne,2027,Jobs by industry,Public administration and safety,49878
City of Melbourne,2032,Jobs by industry,Public administration and safety,54271
City of Melbourne,2034,Jobs by industry,Public administration and safety,54758
City of Melbourne,2024,Jobs by industry,Real estate services,10110
City of Melbourne,2026,Jobs by industry,Real estate services,10755
City of Melbourne,2027,Jobs by industry,Real estate services,10927
City of Melbourne,2030,Jobs by industry,Real estate services,11425
City of Melbourne,2036,Jobs by industry,Real estate services,12132
City of Melbourne,2037,Jobs by industry,Real estate services,12233
City of Melbourne,2039,Jobs by industry,Real estate services,12435
City of Melbourne,2023,Jobs by industry,Rental and hiring services,403
City of Melbourne,2025,Jobs by industry,Rental and hiring services,456
City of Melbourne,2027,Jobs by industry,Rental and hiring services,490
City of Melbourne,2029,Jobs by industry,Rental and hiring services,505
City of Melbourne,2035,Jobs by industry,Rental and hiring services,540
City of Melbourne,2037,Jobs by industry,Rental and hiring services,549
City of Melbourne,2038,Jobs by industry,Rental and hiring services,553
City of Melbourne,2040,Jobs by industry,Rental and hiring services,563
City of Melbourne,2041,Jobs by industry,Rental and hiring services,567
City of Melbourne,2026,Jobs by industry,Retail trade,20519
City of Melbourne,2028,Jobs by industry,Retail trade,21405
City of Melbourne,2030,Jobs by industry,Retail trade,22255
City of Melbourne,2031,Jobs by industry,Retail trade,22674
City of Melbourne,2037,Jobs by industry,Retail trade,27335
City of Melbourne,2038,Jobs by industry,Retail trade,27955
City of Melbourne,2039,Jobs by industry,Retail trade,28568
City of Melbourne,2041,Jobs by industry,Retail trade,29782
City of Melbourne,2024,Jobs by industry,"Transport, postal and storage",15263
City of Melbourne,2025,Jobs by industry,"Transport, postal and storage",15650
City of Melbourne,2027,Jobs by industry,"Transport, postal and storage",16157
City of Melbourne,2030,Jobs by industry,"Transport, postal and storage",16515
City of Melbourne,2036,Jobs by industry,"Transport, postal and storage",16236
City of Melbourne,2037,Jobs by industry,"Transport, postal and storage",16286
City of Melbourne,2038,Jobs by industry,"Transport, postal and storage",16336
City of Melbourne,2039,Jobs by industry,"Transport, postal and storage",16386
City of Melbourne,2021,Jobs by industry,Wholesale trade,5839
City of Melbourne,2023,Jobs by industry,Wholesale trade,5787
City of Melbourne,2029,Jobs by industry,Wholesale trade,5728
City of Melbourne,2030,Jobs by industry,Wholesale trade,5739
City of Melbourne,2032,Jobs by industry,Wholesale trade,5618
City of Melbourne,2037,Jobs by industry,Wholesale trade,5048
City of Melbourne,2040,Jobs by industry,Wholesale trade,5017
City of Melbourne,2021,Jobs by space use,Accommodation - Commercial,8409
City of Melbourne,2022,Jobs by space use,Accommodation - Commercial,8561
City of Melbourne,2023,Jobs by space use,Accommodation - Commercial,8713
City of Melbourne,2033,Jobs by space use,Accommodation - Commercial,11278
City of Melbourne,2034,Jobs by space use,Accommodation - Commercial,11369
City of Melbourne,2035,Jobs by space use,Accommodation - Commercial,11461
City of Melbourne,2036,Jobs by space use,Accommodation - Commercial,11553
City of Melbourne,2039,Jobs by space use,Accommodation - Commercial,11815
City of Melbourne,2022,Jobs by space use,Education,25682
City of Melbourne,2031,Jobs by space use,Education,34414
City of Melbourne,2033,Jobs by space use,Education,36583
City of Melbourne,2035,Jobs by space use,Education,38676
City of Melbourne,2038,Jobs by space use,Education,41003
City of Melbourne,2040,Jobs by space use,Education,42261
City of Melbourne,2041,Jobs by space use,Education,42887
City of Melbourne,2028,Jobs by space use,Entertainment - Hospitality,36852
City of Melbourne,2030,Jobs by space use,Entertainment - Hospitality,38620
City of Melbourne,2031,Jobs by space use,Entertainment - Hospitality,39529
City of Melbourne,2038,Jobs by space use,Entertainment - Hospitality,41813
City of Melbourne,2023,Jobs by space use,Entertainment - Other,19005
City of Melbourne,2025,Jobs by space use,Entertainment - Other,18914
City of Melbourne,2026,Jobs by space use,Entertainment - Other,19110
City of Melbourne,2027,Jobs by space use,Entertainment - Other,19510
City of Melbourne,2028,Jobs by space use,Entertainment - Other,19914
City of Melbourne,2031,Jobs by space use,Entertainment - Other,21142
City of Melbourne,2032,Jobs by space use,Entertainment - Other,21517
City of Melbourne,2034,Jobs by space use,Entertainment - Other,22220
City of Melbourne,2035,Jobs by space use,Entertainment - Other,22581
City of Melbourne,2039,Jobs by space use,Entertainment - Other,23889
City of Melbourne,2021,Jobs by space use,Health,35282
City of Melbourne,2023,Jobs by space use,Health,37218
City of Melbourne,2024,Jobs by space use,Health,38539
City of Melbourne,2025,Jobs by space use,Health,39832
City of Melbourne,2027,Jobs by space use,Health,42988
City of Melbourne,2031,Jobs by space use,Health,49177
City of Melbourne,2040,Jobs by space use,Health,57849
City of Melbourne,2025,Jobs by space use,Industrial,8119
City of Melbourne,2028,Jobs by space use,Industrial,8342
City of Melbourne,2029,Jobs by space use,Industrial,8387
City of Melbourne,2036,Jobs by space use,Industrial,8252
City of Melbourne,2038,Jobs by space use,Industrial,8261
City of Melbourne,2041,Jobs by space use,Industrial,8301
City of Melbourne,2021,Jobs by space use,Office,312504
City of Melbourne,2022,Jobs by space use,Office,317933
City of Melbourne,2024,Jobs by space use,Office,331053
City of Melbourne,2033,Jobs by space use,Office,384170
City of Melbourne,2035,Jobs by space use,Office,394570
City of Melbourne,2038,Jobs by space use,Office,409686
City of Melbourne,2039,Jobs by space use,Office,414614
City of Melbourne,2040,Jobs by space use,Office,419602
