behavior,description,gender,age,Location,sample_size,likelihood_percent
Mental Health,excellent,Male,18-24,East Melbourne,761,41.6
Mental Health,excellent,Female,25-34,South Wharf and Southbank,573,50.3
Mental Health,excellent,Female,35-44,Kensington and Flemington,274,35.6
Mental Health,excellent,Female,45-54,"South Yarra, Melbourne and St Kilda Road ",421,43.3
Mental Health,excellent,Female,55-64,Docklands,229,47.5
Mental Health,excellent,Male,65+,North Melbourne  and  West Melbourne ,128,48.8
Mental Health,excellent,Female,55-64,Melbourne CBD,115,54.2
Mental Health,excellent,Male,35-44,Melbourne CBD,203,72.4
Mental Health,excellent,Male,45-54,Parkville,192,35.2
Mental Health,excellent,Female,65+,Carlton,1376,45.9
Mental Health,excellent,Female,55-64,South Wharf and Southbank,113,48.7
Mental Health,excellent,Female,45-54,South Wharf and Southbank,69,56.9
Mental Health,excellent,Male,25-34,North Melbourne and  West Melbourne,89,51.3
Mental Health,excellent,Male,55-64,North Melbourne and  West Melbourne,344,41.2
Mental Health,excellent,Male,65+,Melbourne CBD,207,47.4
Mental Health,excellent,Male,45-54,"South Yarra,  Melbourne and St Kilda Road ",77,40.3
Mental Health,excellent,Male,35-44,North Melbourne and West Melbourne ,147,56.5
Mental Health,excellent,Female,55-64,East Melbourne ,138,49.7
Mental Health,excellent,Male,25-34,Melbourne CBD,142,47.4
Physical Health,excellent,Male,55-64,North Melbourne and West Melbourne ,761,43.5
Physical Health,excellent,Male,35-44,Parkville ,573,52.3
Physical Health,excellent,Female,65+,Parkville ,274,48.3
Physical Health,excellent,Male,35-44,Kensington and Flemington,421,52.6
Physical Health,excellent,Female,18-24,Melbourne CBD,229,43.3
Physical Health,excellent,Male,18-24,South Wharf and Southbank ,128,45.7
Physical Health,excellent,Female,25-34,South Wharf and Southbank ,115,40.2
Physical Health,excellent,Male,35-44,Carlton ,203,43.7
Physical Health,excellent,Female,55-64,Carlton ,192,45.8
Physical Health,excellent,Female,45-54,Carlton ,1376,47.9
Physical Health,excellent,Female,18-24,Docklands ,113,43.7
Physical Health,excellent,Female,45-54,Docklands ,69,50.9
Physical Health,excellent,Male,65+,Kensington and Flemington ,89,50.6
Physical Health,excellent,Male,65+,Docklands ,344,48.3
Physical Health,excellent,Female,18-24,Melbourne CBD,207,50.8
Physical Health,excellent,Male,45-54,Docklands ,77,52
Physical Health,excellent,Female,25-34,"South Yarra, Melbourne and St Kilda Road",147,44.7
Physical Health,excellent,Female,25-34,Carlton ,138,51.4
Physical Health,excellent,Male,25-34,Melbourne CBD,110,7.5
Physical Health,excellent,Female,18-24,Kensington and Flemington,758,12
Vaping, vape daily,Male,55-64,"South Yarra, Melbourne and St Kilda Road ",569,18
Vaping, vape daily,Female,25-34,Melbourne CBD,269,18.8
Vaping, vape daily,Male,25-34,South Wharf and Southbank,419,17.1
Vaping, vape daily,Male,55-64,East Melbourne ,228,13.9
Vaping, vape daily,Female,45-54,East Melbourne ,128,15
Vaping, vape daily,Male,45-54,Melbourne CBD,114,7.5
Vaping, vape daily,Female,18-24,Melbourne CBD,202,3.6
Vaping, vape daily,Male,65+,Parkville ,191,15.1
Vaping, vape daily,Male,45-54,"South Yarra, Melbourne and St Kilda Road",1366,14.9
Vaping, vape daily,Female,35-44,Kensington and Flemington ,113,4.5
Vaping, vape daily,Female,18-24,North Melbourne and  West Melbourne ,69,13.9
Vaping, vape daily,Female,18-24,Carlton ,89,16.4
Vaping, vape daily,Male,65+,Melbourne CBD,338,18
Vaping, vape daily,Female,35-44,East Melbourne ,206,15.8
Vaping, vape daily,Male,55-64,Kensington  and Flemington ,76,16.9
Vaping, vape daily,Female,18-24,Parkville ,146,14.3
Vaping, vape daily,Male,55-64,South Wharf  and Southbank ,138,12.2
Vaping, vape daily,Male,35-44,Kensington and Flemington ,164,6.5
Vaping, vape daily,Female,25-34,Carlton ,757,12.5
Vaping, vape daily,Female,45-54,East Melbourne ,571,13.4
Smoking,smoke  daily ,Male,65+,"South Yarra,  Melbourne and St Kilda Road",272,21.7
Smoking,smoke  daily ,Female,35-44,East Melbourne,417,16.9
Smoking,smoke  daily ,Male,35-44,City of Melbourne,228,5.5
Smoking,smoke  daily ,Male,55-64,"South Yarra, Melbourne and St Kilda Road",128,8.1
Smoking,smoke  daily ,Male,18-24,Melbourne CBD,115,3.7
Smoking,smoke  daily ,Male,25-34,City of Melbourne,202,0.2
Smoking,smoke  daily ,Male,65+,Docklands,191,17.3
Smoking,smoke  daily ,Female,65+,Parkville,1368,12.9
Smoking,smoke  daily ,Female,45-54,"North Melbourne, and  West Melbourne",113,7.1
Smoking,smoke  daily ,Female,18-24,Docklands,69,5
Smoking,smoke  daily ,Female,25-34,Parkville,89,10
Smoking,smoke  daily ,Male,35-44,"South Yarra, Melbourne and St Kilda Road",339,14.5
Smoking,smoke  daily ,Female,35-44,Melbourne CBD,206,10.9
Smoking,smoke  daily ,Male,55-64,South Wharf / Southbank ,77,17.6
Smoking,smoke  daily ,Male,18-24,East Melbourne ,147,14.9
Smoking,smoke  daily ,Male,25-34,East Melbourne ,137,8.4
Smoking,smoke  daily ,Male,55-64,Melbourne CBD,95,10.5
Smoking,smoke  daily ,Male,65+,Melbourne CBD,132,25.8
Smoking,smoke  daily ,Female,45-54,Parkville ,60,8.6
Smoking,smoke  daily ,Female,18-24 ,"South Yarra, Melbourne and St Kilda Road ",182,42.5
Smoking,smoke  daily ,Female,25-34 ,Kensington  and Flemington,255,30.8
