Topic,Description,Gender,Age,Location
Mental Health,Reported as excellent or very good,Male,18-24 years,East Melbourne 3002
Mental Health,Reported as excellent or very good,Female,25-34 years,South Wharf / Southbank 3006
Mental Health,Reported as excellent or very good,Female,35-44 years,Kensington / Flemington 3031
Mental Health,Reported as excellent or very good,Female,45-54 years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Mental Health,Reported as excellent or very good,Female,55-64 years,Docklands 3008
Mental Health,Reported as excellent or very good,Male,65+ years,North Melbourne 3051 / West Melbourne 3003
Mental Health,Reported as excellent or very good,Female,55-64 years,City of Melbourne
Mental Health,Reported as excellent or very good,Male,35-44 years,Melbourne 3000
Mental Health,Reported as excellent or very good,Male,45-54 years,Parkville 3052
Mental Health,Reported as excellent or very good,Female,65+ years,Carlton 3053
Mental Health,Reported as excellent or very good,Female,55-64 years,South Wharf / Southbank 3006
Mental Health,Reported as excellent or very good,Female,45-54 years,South Wharf / Southbank 3006
Mental Health,Reported as excellent or very good,Male,25-34 years,North Melbourne 3051 / West Melbourne 3003
Mental Health,Reported as excellent or very good,Male,55-64 years,North Melbourne 3051 / West Melbourne 3003
Mental Health,Reported as excellent or very good,Male,65+ years,City of Melbourne
Mental Health,Reported as excellent or very good,Male,45-54 years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Mental Health,Reported as excellent or very good,Male,35-44 years,North Melbourne 3051 / West Melbourne 3003
Mental Health,Reported as excellent or very good,Female,55-64 years,East Melbourne 3002
Mental Health,Reported as excellent or very good,Male,25-34 years,City of Melbourne
Physical Health,Reported as excellent or very good,Male,55-64 years,North Melbourne 3051 / West Melbourne 3003
Physical Health,Reported as excellent or very good,Male,35-44 years,Parkville 3052
Physical Health,Reported as excellent or very good,Female,65+ years,Parkville 3052
Physical Health,Reported as excellent or very good,Male,35-44 years,Kensington / Flemington 3031
Physical Health,Reported as excellent or very good,Female,18-24 years,City of Melbourne
Physical Health,Reported as excellent or very good,Male,18-24 years,South Wharf / Southbank 3006
Physical Health,Reported as excellent or very good,Female,25-34 years,South Wharf / Southbank 3006
Physical Health,Reported as excellent or very good,Male,35-44 years,Carlton 3053
Physical Health,Reported as excellent or very good,Female,35-44 years,Carlton 3053
Physical Health,Reported as excellent or very good,Female,45-54 years,Carlton 3053
Physical Health,Reported as excellent or very good,Female,18-24 years,Docklands 3008
Physical Health,Reported as excellent or very good,Female,45-54 years,Docklands 3008
Physical Health,Reported as excellent or very good,Male,65+ years,Kensington / Flemington 3031
Physical Health,Reported as excellent or very good,Male,65+ years,Docklands 3008
Physical Health,Reported as excellent or very good,Female,18-24 years,Melbourne 3000
Physical Health,Reported as excellent or very good,Male,45-54 years,Docklands 3008
Physical Health,Reported as excellent or very good,Female,25-34 years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Physical Health,Reported as excellent or very good,Female,25-34 years,Carlton 3053
Physical Health,Reported as excellent or very good,Male,25-34 years,Melbourne 3000
Physical Health,Reported as excellent or very good,Female,18-24 years,Kensington / Flemington 3031
Vaping,Reported as vape daily or vape occassionally,Male,55-64 years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Vaping,Reported as vape daily or vape occassionally,Female,25-34 years,Melbourne 3000
Vaping,Reported as vape daily or vape occassionally,Male,25-34 years,South Wharf / Southbank 3006
Vaping,Reported as vape daily or vape occassionally,Male,55-64 years,East Melbourne 3002
Vaping,Reported as vape daily or vape occassionally,Female,45-54 years,East Melbourne 3002
Vaping,Reported as vape daily or vape occassionally,Male,45-54 years,Melbourne 3000
Vaping,Reported as vape daily or vape occassionally,Female,18-24 years,Melbourne 3000
Vaping,Reported as vape daily or vape occassionally,Male,65+ years,Parkville 3052
Vaping,Reported as vape daily or vape occassionally,Male,45-54 years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Vaping,Reported as vape daily or vape occassionally,Female,35-44 years,Kensington / Flemington 3031
Vaping,Reported as vape daily or vape occassionally,Female,18-24 years,North Melbourne 3051 / West Melbourne 3003
