Subtopics,Category,Subcategory,year,Percentage
Satisfaction with standard of living,Age Group,35-44 years,2023,73.4
Satisfaction with standard of living,Age Group,55-64 years,2023,79.4
Satisfaction with standard of living,Age Group,65+ years,2023,85.7
Satisfaction with standard of living,Gender,Female,2023,74.9
Satisfaction with standard of living,Suburb,Carlton 3053,2023,68.7
Satisfaction with standard of living,Suburb,East Melbourne 3002,2023,79.3
Satisfaction with standard of living,Suburb,Kensington / Flemington 3031,2023,78.7
Satisfaction with standard of living,Suburb,Melbourne 3000,2023,72.5
Satisfaction with health,Age Group,35-44 years,2023,73.8
Satisfaction with health,Age Group,45-54 years,2023,70.5
Satisfaction with health,Gender,Female,2023,71.5
Satisfaction with health,Suburb,City of Melbourne,2023,72.9
Satisfaction with health,Suburb,Docklands 3008,2023,69.9
Satisfaction with health,Suburb,Parkville 3052,2023,74.2
Satisfaction with health,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,72.5
Satisfaction with currently achieving in life,Age Group,35-44 years,2023,70.9
Satisfaction with currently achieving in life,Age Group,55-64 years,2023,69.7
Satisfaction with currently achieving in life,Age Group,65+ years,2023,79.4
Satisfaction with currently achieving in life,Gender,Female,2023,69.5
Satisfaction with currently achieving in life,Suburb,Carlton 3053,2023,64.9
Satisfaction with personal relationships,Age Group,18-24 years,2023,69.8
Satisfaction with personal relationships,Age Group,45-54 years,2023,73.6
Satisfaction with personal relationships,Age Group,65+ years,2023,83.7
Satisfaction with personal relationships,Gender,Female,2023,73.5
Satisfaction with personal relationships,Gender,Male,2023,73.8
Satisfaction with personal relationships,Suburb,Docklands 3008,2023,74.1
Satisfaction with personal relationships,Suburb,Melbourne 3000,2023,71.1
Satisfaction with personal relationships,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,76.0
Satisfaction with personal relationships,Suburb,Parkville 3052,2023,74.5
Satisfaction with how safe you feel,Age Group,55-64 years,2023,79.0
Satisfaction with how safe you feel,Suburb,City of Melbourne,2023,79.1
Satisfaction with how safe you feel,Suburb,Docklands 3008,2023,79.9
Satisfaction with how safe you feel,Suburb,East Melbourne 3002,2023,85.0
Satisfaction with how safe you feel,Suburb,Kensington / Flemington 3031,2023,81.6
Satisfaction with how safe you feel,Suburb,Melbourne 3000,2023,75.8
Satisfaction with feeling part of your community,Age Group,65+ years,2023,73.0
Satisfaction with feeling part of your community,Gender,Female,2023,63.8
Satisfaction with feeling part of your community,Gender,Male,2023,64.8
Satisfaction with feeling part of your community,Suburb,Docklands 3008,2023,65.1
Satisfaction with feeling part of your community,Suburb,East Melbourne 3002,2023,70.1
Satisfaction with feeling part of your community,Suburb,Kensington / Flemington 3031,2023,68.0
Satisfaction with feeling part of your community,Suburb,Melbourne 3000,2023,60.5
Satisfaction with feeling part of your community,Suburb,South Wharf / Southbank 3006,2023,63.9
Satisfaction with future security,Suburb,Carlton 3053,2023,62.5
Satisfaction with future security,Suburb,Kensington / Flemington 3031,2023,68.1
Satisfaction with future security,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,68.9
Satisfaction with future security,Suburb,Parkville 3052,2023,66.3
Satisfaction with future security,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,66.1
Satisfaction with standard of living,Age Group,18-24 years,2023,74.1
Satisfaction with standard of living,Age Group,45-54 years,2023,76.6
Satisfaction with standard of living,Suburb,City of Melbourne,2023,75.1
Satisfaction with standard of living,Suburb,Docklands 3008,2023,74.2
Satisfaction with standard of living,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,74.7
Satisfaction with health,Age Group,18-24 years,2023,71.7
Satisfaction with health,Age Group,25-34 years,2023,74.2
Satisfaction with health,Age Group,65+ years,2023,73.1
Satisfaction with health,Suburb,Carlton 3053,2023,71.8
Satisfaction with health,Suburb,Kensington / Flemington 3031,2023,74.7
Satisfaction with currently achieving in life,Age Group,25-34 years,2023,70.4
Satisfaction with currently achieving in life,Age Group,45-54 years,2023,69.9
Satisfaction with currently achieving in life,Gender,Male,2023,71.3
Satisfaction with currently achieving in life,Suburb,City of Melbourne,2023,70.4
Satisfaction with currently achieving in life,Suburb,East Melbourne 3002,2023,76.7
Satisfaction with currently achieving in life,Suburb,Kensington / Flemington 3031,2023,72.1
Satisfaction with currently achieving in life,Suburb,Melbourne 3000,2023,69.5
Satisfaction with currently achieving in life,Suburb,Parkville 3052,2023,70.7
Satisfaction with currently achieving in life,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,71.5
Satisfaction with personal relationships,Age Group,25-34 years,2023,72.6
Satisfaction with personal relationships,Age Group,35-44 years,2023,75.9
Satisfaction with personal relationships,Suburb,East Melbourne 3002,2023,79.6
Satisfaction with personal relationships,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,73.3
Satisfaction with how safe you feel,Age Group,45-54 years,2023,79.7
Satisfaction with how safe you feel,Age Group,65+ years,2023,81.7
Satisfaction with how safe you feel,Gender,Female,2023,77.7
Satisfaction with how safe you feel,Gender,Male,2023,80.6
Satisfaction with how safe you feel,Suburb,Carlton 3053,2023,76.7
Satisfaction with how safe you feel,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,80.9
Satisfaction with how safe you feel,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,79.8
Satisfaction with feeling part of your community,Age Group,18-24 years,2023,63.5
Satisfaction with feeling part of your community,Age Group,35-44 years,2023,62.2
Satisfaction with feeling part of your community,Age Group,55-64 years,2023,67.6
Satisfaction with feeling part of your community,Suburb,City of Melbourne,2023,64.3
Satisfaction with feeling part of your community,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,68.6
Satisfaction with feeling part of your community,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,65.5
Satisfaction with future security,Age Group,18-24 years,2023,64.5
Satisfaction with future security,Age Group,45-54 years,2023,66.9
Satisfaction with future security,Age Group,55-64 years,2023,71.3
Satisfaction with future security,Age Group,65+ years,2023,78.5
Satisfaction with future security,Suburb,Docklands 3008,2023,69.1
Satisfaction with future security,Suburb,East Melbourne 3002,2023,72.3
Satisfaction with future security,Suburb,Melbourne 3000,2023,64.3
Satisfaction with future security,Suburb,South Wharf / Southbank 3006,2023,68.6
Satisfaction with standard of living,Age Group,25-34 years,2023,73.3
Satisfaction with standard of living,Gender,Male,2023,75.2
Satisfaction with standard of living,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,77.0
Satisfaction with standard of living,Suburb,Parkville 3052,2023,78.0
Satisfaction with standard of living,Suburb,South Wharf / Southbank 3006,2023,80.5
Satisfaction with health,Age Group,55-64 years,2023,69.6
Satisfaction with health,Gender,Male,2023,74.3
Satisfaction with health,Suburb,East Melbourne 3002,2023,78.0
Satisfaction with health,Suburb,Melbourne 3000,2023,71.5
Satisfaction with health,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,73.1
Satisfaction with health,Suburb,South Wharf / Southbank 3006,2023,76.1
Satisfaction with currently achieving in life,Age Group,18-24 years,2023,67.2
Satisfaction with currently achieving in life,Suburb,Docklands 3008,2023,68.5
Satisfaction with currently achieving in life,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,72.0
Satisfaction with currently achieving in life,Suburb,South Wharf / Southbank 3006,2023,73.6
Satisfaction with personal relationships,Age Group,55-64 years,2023,75.3
Satisfaction with personal relationships,Suburb,Carlton 3053,2023,69.4
Satisfaction with personal relationships,Suburb,City of Melbourne,2023,73.7
Satisfaction with personal relationships,Suburb,Kensington / Flemington 3031,2023,76.6
Satisfaction with personal relationships,Suburb,South Wharf / Southbank 3006,2023,76.8
Satisfaction with how safe you feel,Age Group,18-24 years,2023,78.3
Satisfaction with how safe you feel,Age Group,25-34 years,2023,80.0
Satisfaction with how safe you feel,Age Group,35-44 years,2023,77.2
Satisfaction with how safe you feel,Suburb,Parkville 3052,2023,82.8
Satisfaction with how safe you feel,Suburb,South Wharf / Southbank 3006,2023,82.4
Satisfaction with feeling part of your community,Age Group,25-34 years,2023,63.3
Satisfaction with feeling part of your community,Age Group,45-54 years,2023,64.5
Satisfaction with feeling part of your community,Suburb,Carlton 3053,2023,61.6
Satisfaction with feeling part of your community,Suburb,Parkville 3052,2023,72.1
Satisfaction with future security,Age Group,25-34 years,2023,66.2
Satisfaction with future security,Age Group,35-44 years,2023,62.9
Satisfaction with future security,Gender,Female,2023,65.0
Satisfaction with future security,Gender,Male,2023,68.2
Satisfaction with future security,Suburb,City of Melbourne,2023,66.6
