zone,date_hour,demand,Quantity,Total_Price,delivery_duration_mins,Traffic_Level_Encoded
0,2025-06-01 10:00:00,25,90,7726.18,38.92,2.0
0,2025-06-01 11:00:00,32,96,8916.5,40.28125,2.0
0,2025-06-01 12:00:00,30,86,7839.23,39.0,2.0
0,2025-06-01 13:00:00,27,90,8314.64,36.44444444444444,2.0
0,2025-06-01 14:00:00,25,84,7115.02,39.76,2.0
0,2025-06-01 15:00:00,30,84,7163.31,36.93333333333333,2.0
0,2025-06-01 16:00:00,20,55,4850.66,40.0,0.0
0,2025-06-01 17:00:00,23,54,5906.49,37.391304347826086,0.0
0,2025-06-01 18:00:00,22,76,7251.2,35.95454545454545,0.0
0,2025-06-01 19:00:00,20,65,5407.64,33.95,0.0
0,2025-06-01 20:00:00,25,65,4924.92,38.48,1.0
0,2025-06-01 21:00:00,22,58,5990.9,39.27272727272727,1.0
0,2025-06-01 22:00:00,26,97,8880.52,37.46153846153846,1.0
0,2025-06-01 23:00:00,23,71,5869.04,38.82608695652174,1.0
0,2025-06-02 00:00:00,26,71,7179.09,38.15384615384615,1.0
0,2025-06-02 01:00:00,19,68,5643.61,37.05263157894737,1.0
0,2025-06-02 02:00:00,27,73,6989.95,34.77777777777778,1.0
0,2025-06-02 03:00:00,23,80,8289.77,36.869565217391305,1.0
0,2025-06-02 04:00:00,19,63,5590.32,37.10526315789474,1.0
0,2025-06-02 05:00:00,26,80,6683.76,30.153846153846153,1.0
0,2025-06-02 06:00:00,24,86,7175.3,39.041666666666664,1.0
0,2025-06-02 07:00:00,25,67,6584.27,40.4,0.0
0,2025-06-02 08:00:00,27,89,7965.93,36.51851851851852,0.0
0,2025-06-02 09:00:00,20,64,5684.54,31.9,0.0
0,2025-06-02 10:00:00,28,72,6709.99,37.035714285714285,2.0
0,2025-06-02 11:00:00,26,69,5886.41,37.26923076923077,2.0
0,2025-06-02 12:00:00,27,78,5785.01,35.407407407407405,2.0
0,2025-06-02 13:00:00,33,107,10221.73,37.63636363636363,2.0
0,2025-06-02 14:00:00,31,92,8022.4,36.0,2.0
0,2025-06-02 15:00:00,27,73,6235.42,41.22222222222222,2.0
0,2025-06-02 16:00:00,25,74,7283.74,33.88,0.0
0,2025-06-02 17:00:00,23,55,5271.32,37.130434782608695,0.0
0,2025-06-02 18:00:00,22,55,4293.72,34.72727272727273,0.0
0,2025-06-02 19:00:00,24,70,5576.95,37.083333333333336,0.0
0,2025-06-02 20:00:00,28,83,6697.639999999999,33.785714285714285,1.0
0,2025-06-02 21:00:00,34,112,8445.44,35.3235294117647,1.0
0,2025-06-02 22:00:00,27,98,9822.27,38.851851851851855,1.0
0,2025-06-02 23:00:00,32,90,7364.96,35.5625,1.0
0,2025-06-03 00:00:00,27,76,7428.66,35.25925925925926,1.0
0,2025-06-03 01:00:00,16,49,4129.78,38.625,1.0
0,2025-06-03 02:00:00,30,83,7148.09,37.1,1.0
0,2025-06-03 03:00:00,26,86,7582.06,36.46153846153846,1.0
