Geo Point,Geo Shape,prop_id,addresspt1,addressp_1,asset_clas,asset_type,objectid,str_id,addresspt_,model_desc,mcc_id,roadseg_id,descriptio,model_no
"-37.80384165792465, 144.93239283833262","{""coordinates"": [144.93239283833262, -37.80384165792465], ""type"": ""Point""}",0,76.81982435,357,Signage,Sign - Public Transport,355,1235255,570648,Sign - Public Transport 1 Panel,1235255,21673,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.81548699581418, 144.9581794249902","{""coordinates"": [144.9581794249902, -37.81548699581418], ""type"": ""Point""}",0,21.56130407,83,Signage,Sign - Public Transport,600,1231226,548056,Sign - Public Transport 1 Panel,1231226,20184,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81353897396532, 144.95728334230756","{""coordinates"": [144.95728334230756, -37.81353897396532], ""type"": ""Point""}",0,42.17718722,207,Signage,Sign - Public Transport,640,1237092,543382,Sign - Public Transport 1 Panel,1237092,20186,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.82191394843844, 144.95539345270072","{""coordinates"": [144.95539345270072, -37.82191394843844], ""type"": ""Point""}",0,15.86043382,181,Signage,Sign - Public Transport,918,1232777,103975,Sign - Public Transport 1 Panel,1232777,22174,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.83316401267591, 144.97443745130263","{""coordinates"": [144.97443745130263, -37.83316401267591], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,1029,1271914,0,Sign - Public Transport 1 Panel,1271914,22708,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.79436108568101, 144.92998424529242","{""coordinates"": [144.92998424529242, -37.79436108568101], ""type"": ""Point""}",0,3.10572182,112,Signage,Sign - Public Transport,1139,1577059,616011,Sign - Public Transport 1 Panel,1577059,21693,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.817452093555325, 144.96168480565794","{""coordinates"": [144.96168480565794, -37.817452093555325], ""type"": ""Point""}",0,7.23972603,268,Signage,Sign - Public Transport,1263,1481028,527371,Sign - Public Transport 1 Panel,1481028,20171,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.82146476463953, 144.9303191551562","{""coordinates"": [144.9303191551562, -37.82146476463953], ""type"": ""Point""}",0,32.18066371,298,Signage,Sign - Public Transport,2527,1245221,110521,Sign - Public Transport 1 Panel,1245221,30638,Sign - Public Transport 1 Panel Bus Stop Type 3,P.16
"-37.837547087144706, 144.98191138368836","{""coordinates"": [144.98191138368836, -37.837547087144706], ""type"": ""Point""}",0,41.44116655,78,Signage,Sign - Public Transport,2922,1248743,107419,Sign - Public Transport 1 Panel,1248743,22245,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.812490976626215, 144.95370614040704","{""coordinates"": [144.95370614040704, -37.812490976626215], ""type"": ""Point""}",0,16.14376437,99,Signage,Sign - Public Transport,5111,1253565,602160,Sign - Public Transport 1 Panel,1253565,20030,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.80568178285169, 144.9538874178126","{""coordinates"": [144.9538874178126, -37.80568178285169], ""type"": ""Point""}",0,13.19581543,295,Signage,Sign - Public Transport,6253,1257184,533738,Sign - Public Transport 1 Panel,1257184,20951,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81046893573314, 144.95002330947514","{""coordinates"": [144.95002330947514, -37.81046893573314], ""type"": ""Point""}",0,9.84831407,130,Signage,Sign - Public Transport,6308,1253494,608842,Sign - Public Transport 1 Panel,1253494,21486,Sign - Public Transport 1 Panel Bus Stop Type 11,P.16
"-37.8019227781844, 144.91933001451295","{""coordinates"": [144.91933001451295, -37.8019227781844], ""type"": ""Point""}",0,35.06624367,309,Signage,Sign - Public Transport,6407,1235296,102993,Sign - Public Transport 1 Panel,1235296,21680,Sign - Public Transport 1 Panel Bus Stop Type 13,P.16
"-37.79643544425749, 144.95105741007433","{""coordinates"": [144.95105741007433, -37.79643544425749], ""type"": ""Point""}",0,41.43510194,1,Signage,Sign - Public Transport,7621,1250709,104198,Sign - Public Transport 1 Panel,1250709,20921,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
"-37.81284286140822, 144.95705739709712","{""coordinates"": [144.95705739709712, -37.81284286140822], ""type"": ""Point""}",0,24.10362334,104,Signage,Sign - Public Transport,7768,1568360,110758,Sign - Public Transport 1 Panel,1568360,20186,Sign - Public Transport 1 Panel Bus Stop Type 1,P.16
"-37.82622493578387, 144.96073232156283","{""coordinates"": [144.96073232156283, -37.82622493578387], ""type"": ""Point""}",0,36.61689529,251,Signage,Sign - Public Transport,8972,1240004,110636,Sign - Public Transport 1 Panel,1240004,22043,Sign - Public Transport 1 Panel Bus Stop Type 8,P.16
