location_id,sensor_description,sensor_name,installation_date,note,location_type,status,direction_1,direction_2,latitude,longitude,location
2,Bourke Street Mall (South),Bou283_T,2009-03-30,,Outdoor,A,East,West,-37.81380668,144.96516718,"-37.81380668, 144.96516718"
6,Flinders Street Station Underpass,FliS_T,2009-03-25,Upgraded on 8/09/21,Outdoor,A,North,South,-37.81911705,144.96558255,"-37.81911705, 144.96558255"
8,Webb Bridge,WebBN_T,2009-03-24,,Outdoor,A,North,South,-37.82293543,144.9471751,"-37.82293543, 144.9471751"
17,Collins Place (South),Col15_T,2009-03-30,Device is upgraded in 26/02/2020,Outdoor,A,East,West,-37.81362543,144.97323591,"-37.81362543, 144.97323591"
21,155-161 Russell Street,Bourke155_T,2013-09-02,,Outdoor,A,North,South,-37.81267313,144.96788288,"-37.81267313, 144.96788288"
23,Spencer St-Collins St (South),Col623_T,2013-09-02,"Pushbox Upgrade, 25/07/2023",Outdoor,A,East,West,-37.81909256,144.95452748,"-37.81909256, 144.95452748"
25,Melbourne Convention Exhibition Centre,MCEC_T,2013-08-28,,Outdoor,A,East,West,-37.82401776,144.95604426,"-37.82401776, 144.95604426"
29,St Kilda Rd-Alexandra Gardens,AG_T,2013-10-11,sensor upgraded from laser to 3D on 19/12/2019,Outdoor,A,North,South,-37.8199817,144.96872865,"-37.8199817, 144.96872865"
30,Lonsdale St (South),Lon189_T,2013-10-14,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.8112185,144.96656806,"-37.8112185, 144.96656806"
35,Southbank,SouthB_T,2016-04-11,Device replaced with two new sensors on 15-4-21,Outdoor,A,East,West,-37.82018685,144.96508508,"-37.82018685, 144.96508508"
37,Lygon St (East),Lyg260_T,2015-02-11,"Pushbox Upgrade, 30/06/2023. Move from 174 to 260 Lygon Street (12/08/2024)",Outdoor,A,North,South,-37.80107122,144.96704554,"-37.80107122, 144.96704554"
40,Lonsdale St-Spring St (West),Spr201_T,2015-01-19,"Pushbox Upgrade, 03/08/2023",Outdoor,A,North,South,-37.80999341,144.97227587,"-37.80999341, 144.97227587"
42,Grattan St-Swanston St (West),UM1_T,2015-04-15,,Outdoor,A,North,South,-37.80008566,144.96386412,"-37.80008566, 144.96386412"
63,231 Bourke St,Bou231_T,2020-01-07,,Outdoor,A,East,West,-37.81333081,144.96675571,"-37.81333081, 144.96675571"
66,State Library - New,QVN_T,2020-04-06,,Outdoor,A,North,South,-37.81057846,144.96444294,"-37.81057846, 144.96444294"
67,Flinders Ln -Degraves St (South),FLDegS_T,2020-06-03,,Outdoor,A,East,West,-37.81688755,144.96562569,"-37.81688755, 144.96562569"
70,Errol Street (East),Errol20_T,2020-10-12,,Outdoor,A,North,South,-37.80456984,144.94946228,"-37.80456984, 144.94946228"
71,Westwood Place,WestWP_T,2020-10-16,,Outdoor,A,North,South,-37.81235775,144.97136962,"-37.81235775, 144.97136962"
76,Macaulay Rd- Bellair St,KenMac_T,2021-02-20,,Outdoor,A,East,West,-37.79453803,144.93036194,"-37.79453803, 144.93036194"
78,Harbour Esplanade (West) - Bike Path,HarEsB_T,2021-03-30,,Outdoor,A,North,South,-37.81471642,144.9446508,"-37.81471642, 144.9446508"
92,Library at The Dock-South side,DocLib2_T,2015-06-05,,Indoor,A,,,-37.82016286,144.94039584,"-37.82016286, 144.94039584"
99,Town Hall Visitor Centre,TownVis_T,2020-02-02,"Pushbox Upgrade, 03/08/2023",Indoor,A,,,-37.81462143,144.96623279,"-37.81462143, 144.96623279"
104,Kathleen Syme Library Main,KatLib1_T,2018-02-02,,Indoor,A,,,-37.79863553,144.96548206,"-37.79863553, 144.96548206"
106,Kathleen Syme Library Cafe,KatLib3_T,2018-02-02,,Indoor,A,,,-37.79859459,144.96510921,"-37.79859459, 144.96510921"
108,William St - Little Lonsdale St (West),261Will_T,2022-10-08,,Outdoor,A,In,Out,-37.81295822,144.95678789,"-37.81295822, 144.95678789"
108,William St - Little Lonsdale St (West),261Will_T,2022-10-08,,Outdoor,A,North,InOut,-37.81295822,144.95678789,"-37.81295822, 144.95678789"
118,114 Flinders Street Car Park Crossing,Fli114C_T,2022-12-06,,Outdoor,A,North,South,-37.81632783,144.97090512,"-37.81632783, 144.97090512"
130,I-Hub 892 Bourke Street,Bou892T,2023-09-25,,Outdoor,A,East,West,-37.8204637,144.94126826,"-37.8204637, 144.94126826"
131,I-Hub Corner of King Street and Flinders Street (2-6 King),King2_T,2023-09-25,,Outdoor,A,North,South,-37.82009057,144.95758725,"-37.82009057, 144.95758725"
134,I-Hub Southern Cross Station - Bourke Street Entrance - North,Spen201_T,2023-09-25,,Outdoor,A,North,South,-37.81694221,144.95303935,"-37.81694221, 144.95303935"
143,"Mounted on Toilet - Spencer Street, Batman Park",Spencer_T,2024-04-10,,Outdoor,A,North,South,-37.821728,144.95557015,"-37.821728, 144.95557015"
145,narrm ngarrgu Library - Level 1 - Lift 2,narrLibL1L2_T,2023-10-23,,Indoor,A,,,-37.80763871,144.95850722,"-37.80763871, 144.95850722"
147,narrm ngarrgu Library - Level 1 - Meeting Room Lift 1,narrLibMRL1_T,2023-10-23,,Indoor,A,,,-37.80769805,144.95832131,"-37.80769805, 144.95832131"
152,narrm ngarrgu Library - Level 2 - Study Area Lifts 1,narrLibL2S1_T,2023-10-23,,Indoor,A,,,-37.80776728,144.95843977,"-37.80776728, 144.95843977"
159,516 Elizeberth Street,Eli516_T,2024-01-29,,Indoor,A,,,-37.80651646,144.96007934,"-37.80651646, 144.96007934"
162,iHub 489 Elizabeth Street,Eli489_T,2024-07-01,,Outdoor,A,North,South,-37.80740397,144.95987909,"-37.80740397, 144.95987909"
166,484 Spencer Street,Spen484_T,2024-09-25,Former sensor 227 Bourke Street – City Lab,Outdoor,A,North,South,-37.80896733,144.94931703,"-37.80896733, 144.94931703"
167,I-Hub 526 La Trobe Street (Crossing),Lat526_T,2024-08-14,,Outdoor,A,North,South,-37.81304149,144.95155955,"-37.81304149, 144.95155955"
179,61-67 Power Street Southbank,Pow61_T,2024-12-19,,Outdoor,A,North,South,-37.82392385,144.96299677,"-37.82392385, 144.96299677"
182,163 King Street,King163_T,2025-04-11,,Outdoor,A,In,Out,-37.81627451,144.95550503,"-37.81627451, 144.95550503"
182,163 King Street,King163_T,2025-04-11,,Outdoor,A,North,InOut,-37.81627451,144.95550503,"-37.81627451, 144.95550503"
182,163 King Street,King163_T,2025-04-11,,Outdoor,A,North,South,-37.81627451,144.95550503,"-37.81627451, 144.95550503"
184,124 Elizabeth Street,Eli124_T,2025-06-28,,Outdoor,A,North,South,-37.81512416,144.96371988,"-37.81512416, 144.96371988"
187,RMIT Building 22 - 330 Swanston Street,Swa330_T,2025-10-18,,Outdoor,A,East,West,-37.80942561,144.96395473,"-37.80942561, 144.96395473"
3,Melbourne Central,Swa295_T,2009-03-25,,Outdoor,A,North,South,-37.81101524,144.96429485,"-37.81101524, 144.96429485"
5,Princes Bridge,PriNW_T,2009-03-26,Replace with: 00:6e:02:01:9e:54,Outdoor,A,North,South,-37.81874249,144.96787656,"-37.81874249, 144.96787656"
9,Southern Cross Station,Col700_T,2009-03-23,,Outdoor,A,East,West,-37.81982992,144.95102555,"-37.81982992, 144.95102555"
12,New Quay,NewQ_T,2009-01-21,,Outdoor,A,East,West,-37.81457988,144.94292398,"-37.81457988, 144.94292398"
14,Sandridge Bridge,SanBri_T,2009-03-24,Sensor relocated to sensor ID 25 on 2/10/2019,Outdoor,A,North,South,-37.82011242,144.96291897,"-37.82011242, 144.96291897"
18,Collins Place (North),Col12_T,2009-03-30,,Outdoor,A,East,West,-37.81344862,144.97305353,"-37.81344862, 144.97305353"
19,Chinatown-Swanston St (North),LtB210_T,2013-09-02,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.81237202,144.96550671,"-37.81237202, 144.96550671"
20,Chinatown-Lt Bourke St (South),LtB170_T,2013-09-06,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.81172914,144.9682466,"-37.81172914, 144.9682466"
27,QV Market-Peel St,Vic_T,2013-08-16,,Outdoor,A,East,West,-37.80606888,144.95644692,"-37.80606888, 144.95644692"
28,The Arts Centre,VAC_T,2013-08-23,,Outdoor,A,North,South,-37.82129925,144.96879309,"-37.82129925, 144.96879309"
41,Flinders La-Swanston St (West),Swa31,2017-06-29,,Outdoor,A,North,South,-37.81668634,144.96689733,"-37.81668634, 144.96689733"
43,Monash Rd-Swanston St (West),UM2_T,2015-04-15,,Outdoor,A,North,South,-37.79844526,144.96411782,"-37.79844526, 144.96411782"
44,Tin Alley-Swanston St (West),UM3_T,2015-04-15,"Pushbox Upgrade, 30/06/2023",Outdoor,A,North,South,-37.79698741,144.96441306,"-37.79698741, 144.96441306"
46,Pelham St (South),Pel147_T,2017-07-10,,Outdoor,A,East,West,-37.80240719,144.9615673,"-37.80240719, 144.9615673"
47,Melbourne Central-Elizabeth St (East),Eli250_T,2017-08-24,"Pushbox Upgrade, 25/07/2023. Move to 250 Elizabeth Street from adjacent St. Francis Church at 266 Elizabeth.",Outdoor,A,North,South,-37.81258467,144.9625775,"-37.81258467, 144.9625775"
48,QVM-Queen St (East),QVMQ_T,2017-10-02,"Pushbox Upgrade, 03/07/2023",Outdoor,A,East,West,-37.80631581,144.95866697,"-37.80631581, 144.95866697"
50,Faraday St-Lygon St (West),Lyg309_T,2017-11-30,"Pushbox Upgrade, 25/07/2023",Outdoor,A,North,South,-37.79808192,144.96721013,"-37.79808192, 144.96721013"
