census_year,property_id,building_address,trading_name,number_of_patrons,longitude,latitude,location
2022,105748,268-270 Lonsdale Street MELBOURNE VIC 3000,Her Rooftop,120,144.96414510925,-37.81148566819091,"-37.81148566819091, 144.96414510925"
2004,105749,278-300 Swanston Street MELBOURNE 3000,Three Degrees,457,144.96573447495646,-37.8106799743433,"-37.8106799743433, 144.96573447495646"
2022,105757,Sexton's Cottage Wesley Uniting Church 139-141 Little Lonsdale Street MELBOURNE VIC 3000,Caretakers Cottage,50,144.96817418196383,-37.80994367235,"-37.80994367235, 144.96817418196383"
2004,105828,19-25 Little Bourke Street MELBOURNE 3000,Cheers On Little Bourke Street,350,144.97199956168686,-37.8107442049127,"-37.8107442049127, 144.97199956168686"
2019,105829,37-41 Little Bourke Street MELBOURNE 3000,Juliet Melbourne,100,144.97150588717997,-37.8108360072,"-37.810836007199995, 144.97150588717997"
2019,105831,47-55 Little Bourke Street MELBOURNE 3000,Bodega Underground,60,144.9711096464,-37.81102403390212,"-37.81102403390212, 144.9711096464"
2011,105852,401-405 Little Bourke Street MELBOURNE 3000,The Apartment Restaurant Club Lounge,250,144.9610341172,-37.81403280616105,"-37.81403280616105, 144.9610341172"
2008,105858,590-592 Little Bourke Street MELBOURNE 3000,POD Nite Club,700,144.95469854225,-37.8153398439392,"-37.8153398439392, 144.95469854225"
2011,105867,428-432 Little Bourke Street MELBOURNE 3000,DANSK Restaurant,100,144.95972661780002,-37.81392425618554,"-37.813924256185544, 144.95972661780002"
2019,105870,380-384 Little Bourke Street MELBOURNE 3000,Kirk's Public Bar,98,144.96132807458443,-37.8135435217,"-37.8135435217, 144.96132807458443"
2013,105875,318-322 Little Bourke Street MELBOURNE 3000,M.O.O.,200,144.96312748625002,-37.81292588925007,"-37.81292588925007, 144.96312748625002"
2013,105878,242-244 Little Bourke Street MELBOURNE 3000,NG Karaoke Bar,334,144.96558664045,-37.81209405621503,"-37.81209405621503, 144.96558664045"
2022,105900,40-46 Little Bourke Street MELBOURNE VIC 3000,LONGSONG,260,144.9711821656,-37.81059080656873,"-37.81059080656873, 144.9711821656"
2022,105919,267 Little Collins Street MELBOURNE VIC 3000,Fika Island,190,144.9656017104,-37.81483197706808,"-37.814831977068074, 144.9656017104"
2022,105929,335-349 Little Collins Street MELBOURNE VIC 3000,Maniax Axe Throwing Melbourne CBD,300,144.96330054055,-37.815577516659154,"-37.815577516659154, 144.96330054055"
2003,105933,425-427 Little Collins Street MELBOURNE 3000,The Irish Times,170,144.9605449167531,-37.816255721754686,"-37.816255721754686, 144.9605449167531"
2010,105934,429 Little Collins Street MELBOURNE 3000,Cafe De Tuscany,117,144.96045197655002,-37.81627858713537,"-37.81627858713537, 144.96045197655002"
2012,105936,433 Little Collins Street MELBOURNE 3000,Dikstein's Corner Bar,145,144.96034180595,-37.81631387227728,"-37.81631387227728, 144.96034180595"
2002,105937,435-443 Little Collins Street MELBOURNE 3000,The Kitchen Restaurant,200,144.96010676156988,-37.816397070511165,"-37.816397070511165, 144.96010676156988"
2012,105948,582-584 Little Collins Street MELBOURNE 3000,Saint & Rogue,300,144.9553519104,-37.817418958497775,"-37.817418958497775, 144.9553519104"
2008,105954,422-428 Little Collins Street MELBOURNE 3000,The Balcony,200,144.9603262827,-37.81590751094318,"-37.81590751094318, 144.9603262827"
2006,105960,318-322 Little Collins Street MELBOURNE 3000,Club F4,380,144.96401670012526,-37.81488232647624,"-37.81488232647624, 144.96401670012526"
2022,105962,Council House 2 218-242 Little Collins Street MELBOURNE VIC 3000,Glamp Bar,200,144.96680036332666,-37.8141314686,"-37.8141314686, 144.96680036332666"
2007,105963,196-212 Little Collins Street MELBOURNE 3000,Hairy Canary,50,144.9671623655484,-37.81390258825656,"-37.81390258825656, 144.9671623655484"
2007,105964,188-194 Little Collins Street MELBOURNE 3000,Gin Palace,150,144.9675905726475,-37.813908781055495,"-37.813908781055495, 144.9675905726475"
2002,105968,62-66 Little Collins Street MELBOURNE 3000,Bridie O'Reillys,300,144.97145124751802,-37.81281107608043,"-37.81281107608043, 144.97145124751802"
2003,106017,391-393 Little Lonsdale Street MELBOURNE 3000,La La Land,175,144.9603507674639,-37.8118754125278,"-37.8118754125278, 144.9603507674639"
2011,106018,395-397 Little Lonsdale Street MELBOURNE 3000,Horse Bazaar,158,144.96024997335002,-37.811900537748286,"-37.811900537748286, 144.96024997335002"
2018,106019,399-401 Little Lonsdale Street MELBOURNE 3000,Novotel/Ibis Melbourne Central,786,144.96013610345,-37.81204551781832,"-37.81204551781832, 144.96013610345"
2017,106037,324-328 Little Lonsdale Street MELBOURNE 3000,Alchemist's Refuge,60,144.9599405236,-37.8116745095178,"-37.8116745095178, 144.9599405236"
2006,106057,106 Little Lonsdale Street MELBOURNE 3000,Troika Bar,60,144.9685990930347,-37.8091527973733,"-37.8091527973733, 144.9685990930347"
2011,106059,100 Little Lonsdale Street MELBOURNE 3000,Gami Chicken and Beer,73,144.96871967445,-37.8091371854497,"-37.8091371854497, 144.96871967445"
2010,106081,27-31 Lygon Street CARLTON 3053,John Curtin Hotel,350,144.96569857047632,-37.80619945955,"-37.80619945955, 144.96569857047632"
2021,106142,291-299 Lygon Street CARLTON VIC 3053,Johnny's Green Room,200,144.96704169330002,-37.79838895230975,"-37.79838895230975, 144.96704169330002"
2018,106153,331-335 Lygon Street CARLTON 3053,Wolfs Lair,80,144.9671719070076,-37.79751106105,"-37.79751106105, 144.9671719070076"
2004,106186,414-422 Lygon Street CARLTON 3053,Percys Bar & Bistro,120,144.96782181585178,-37.79694678651363,"-37.79694678651363, 144.96782181585178"
2008,106215,298 Lygon Street CARLTON 3053,Carlton Yacht Club Bar,60,144.96737629242227,-37.799985814950006,"-37.799985814950006, 144.96737629242227"
2003,106222,270-276 Lygon Street CARLTON 3053,University Hotel,111,144.9672535310201,-37.8005282520571,"-37.8005282520571, 144.9672535310201"
2003,106238,192-202 Lygon Street CARLTON 3053,Players On Lygon,200,144.96699165611432,-37.80254093983895,"-37.80254093983895, 144.96699165611432"
2006,106239,186-190 Lygon Street CARLTON 3053,Hotel Milan,540,144.96693072583696,-37.80264148995404,"-37.80264148995404, 144.96693072583696"
2004,106244,160-162 Lygon Street CARLTON 3053,Bar Centrale,500,144.96677971226654,-37.80344268484407,"-37.80344268484407, 144.96677971226654"
2003,106251,66-88 Lygon Street CARLTON 3053,Lagers On Lygon,80,144.9665840839516,-37.80530454659966,"-37.80530454659966, 144.9665840839516"
2020,106254,Trades Hall 2-40 Lygon Street CARLTON VIC 3053,Common Rooms At Trades Hall,174,144.96641242315002,-37.80644010968685,"-37.80644010968685, 144.96641242315002"
2009,106433,18-24 Market Lane MELBOURNE 3000,Ding Dong Lounge,396,144.96940300403708,-37.8117510901,"-37.8117510901, 144.96940300403708"
2009,106435,21-31 Market Street MELBOURNE 3000,The Trust Bar,350,144.96042042913956,-37.8186455756,"-37.8186455756, 144.96042042913956"
2010,106436,54-60 Market Street MELBOURNE 3000,Alexis Restaurant,370,144.960818722029,-37.8177773141,"-37.8177773141, 144.960818722029"
2022,106560,12-18 Meyers Place MELBOURNE VIC 3000,Lily Blacks,95,144.9724843766,-37.81225381732877,"-37.81225381732877, 144.9724843766"
2015,106798,557 St Kilda Road MELBOURNE 3004,"Village Melbourne - Garden, Arbor, Bistro & Terrace",790,144.9815191454286,-37.84746944815,"-37.84746944815, 144.9815191454286"
2004,107481,65-67 Peel Street WEST MELBOURNE 3003,Loki Bar,140,144.95550681833367,-37.806669084113175,"-37.806669084113175, 144.95550681833367"
2008,107887,351-359 Queensberry Street NORTH MELBOURNE 3051,The Keeper's Arm,240,144.95596742391035,-37.8039559844,"-37.8039559844, 144.95596742391035"
2009,107890,399-405 Queensberry Street NORTH MELBOURNE 3051,Royal Park Hotel/Pub,114,144.9543146186515,-37.8037874454,"-37.8037874454, 144.9543146186515"
2015,107987,562-564 Queensberry Street NORTH MELBOURNE 3051,Banter Wine Bar,50,144.94871248665,-37.802718662022784,"-37.802718662022784, 144.94871248665"
2011,108052,133 Queens Bridge Street SOUTHBANK 3006,Story,120,144.96050441636524,-37.82526180655,"-37.82526180655, 144.96050441636524"
2013,108054,40-56 Queens Bridge Street SOUTHBANK 3006,Mesh/Tonic Bar,300,144.96001929179084,-37.8239807135,"-37.8239807135, 144.96001929179084"
2005,108058,7-11 Queen Street MELBOURNE 3000,The Bliss Lounge,210,144.9619565192058,-37.81862081553311,"-37.81862081553311, 144.9619565192058"
2011,108064,85-91 Queen Street MELBOURNE 3000,Element Lounge,230,144.96102193243902,-37.8164972605,"-37.8164972605, 144.96102193243902"
2006,108065,93-95 Queen Street MELBOURNE 3000,Basemint Louge Bar,167,144.96098388303682,-37.816379357258064,"-37.816379357258064, 144.96098388303682"
2008,108067,103-105 Queen Street MELBOURNE 3000,Chaise Lounge,140,144.96081186476823,-37.81615489945,"-37.81615489945, 144.96081186476823"
2008,108068,111-129 Queen Street MELBOURNE 3000,CitiClub On Queen Hotel,1505,144.96063605132247,-37.81581228765,"-37.81581228765, 144.96063605132247"
2008,108069,131-141 Queen Street MELBOURNE 3000,The Turf Bar & Restaurant,527,144.96053356826647,-37.81549537675,"-37.81549537675, 144.96053356826647"
2014,108103,244-250 Queen Street MELBOURNE 3000,Golden Buddha Lounge,200,144.9599637899321,-37.8126899312,"-37.8126899312, 144.9599637899321"
2014,108154,49 Rathdowne Street CARLTON 3053,Epocha Restaurant,124,144.9685622356859,-37.8057719265,"-37.8057719265, 144.9685622356859"
2020,108202,415-421 Rathdowne Street CARLTON VIC 3053,Capitano,100,144.9704268719,-37.796520432794665,"-37.796520432794665, 144.9704268719"
2007,108456,43-49 Royal Parade PARKVILLE 3052,Naughtons Hotel,350,144.95754147493764,-37.79554574576514,"-37.79554574576514, 144.95754147493764"
2009,108532,27-37 Russell Street MELBOURNE 3000,Ondergronds Pty Ltd,250,144.96924761608688,-37.8159873994,"-37.8159873994, 144.96924761608688"
2010,108536,115-127 Russell Street MELBOURNE 3000,Portland Hotel,414,144.9681997688,-37.81366374512493,"-37.81366374512493, 144.9681997688"
2019,108537,131-141 Russell Street MELBOURNE 3000,QT Melbourne,885,144.96783665800314,-37.81342912795,"-37.81342912795, 144.96783665800314"
2013,108538,163-169 Russell Street MELBOURNE 3000,Eden Bar,350,144.9676472887188,-37.8124662829,"-37.8124662829, 144.9676472887188"
2007,108547,199-203 Russell Street MELBOURNE 3000,Exford Hotel,300,144.9673502172554,-37.8117932225202,"-37.8117932225202, 144.9673502172554"
2009,108550,213-217 Russell Street MELBOURNE 3000,Guandi Lounge & Bar,100,144.96723626331527,-37.811561475800005,"-37.811561475800005, 144.96723626331527"
2013,108561,50-58 MacKenzie Street MELBOURNE 3000,Blue Moon Bar,200,144.966105304364,-37.80749393235,"-37.80749393235, 144.966105304364"
2005,108565,312-318 Russell Street MELBOURNE 3000,Kivotos Cafe Bar,269,144.9668252164964,-37.80932654189252,"-37.80932654189252, 144.9668252164964"
2010,108567,300 Russell Street MELBOURNE 3000,Jankara Japanese Bar,80,144.9669050494816,-37.80951656025,"-37.80951656025, 144.9669050494816"
2011,108568,296-298 Russell Street MELBOURNE 3000,Ice Lounge & Ski Lounge,152,144.96692730524177,-37.809572120750005,"-37.809572120750005, 144.96692730524177"
2006,108572,272 Russell Street MELBOURNE 3000,Tilt,130,144.96714253225628,-37.81007370116682,"-37.81007370116682, 144.96714253225628"
2008,108573,270 Russell Street MELBOURNE 3000,So'bar,90,144.96716400951658,-37.81011057565,"-37.81011057565, 144.96716400951658"
2002,108580,244-246 Russell Street MELBOURNE 3000,Jagulla,200,144.9673347628442,-37.8104756448507,"-37.8104756448507, 144.9673347628442"
2005,108581,226-236 Russell Street MELBOURNE 3000,Mai Tai Restaurant,170,144.9676532556974,-37.8109838040537,"-37.8109838040537, 144.9676532556974"
2009,108591,114-120 Russell Street MELBOURNE 3000,Canary Club,150,144.96902133147304,-37.81349217105,"-37.81349217105, 144.96902133147304"
2003,108617,375-385 St Kilda Road MELBOURNE 3004,Royce On St Kilda Road,120,144.97555072266726,-37.83508390239305,"-37.83508390239305, 144.97555072266726"
2002,108642,497-503 St Kilda Road MELBOURNE 3004,Cafe Dom - The Granite Bar,500,144.97908599467,-37.84331889873595,"-37.84331889873595, 144.97908599467"
2013,108653,100 St Kilda Road SOUTHBANK 3006,Curve Bar,300,144.96817034075002,-37.82094204031448,"-37.82094204031448, 144.96817034075002"
2002,108844,1-5 Spencer Street DOCKLANDS 3005,Holiday Inn Melbourne,130,144.9551020463571,-37.82272095673378,"-37.82272095673378, 144.9551020463571"
2021,108845,Grand Central Apartments 33-71 Spencer Street DOCKLANDS VIC 3008,Gaylord Indian Restaurant,199,144.95420017295,-37.8201773024649,"-37.8201773024649, 144.95420017295"
2016,108856,475-477 Spencer Street WEST MELBOURNE 3003,Hotel Spencer Bar & Dining Room,150,144.9490789249233,-37.80966119178056,"-37.80966119178056, 144.9490789249233"
2020,108876,McMahon's Hotel 573-579 Spencer Street WEST MELBOURNE VIC 3003,McMahons Hotel,160,144.9469889092186,-37.807407157300005,"-37.807407157300005, 144.9469889092186"
2014,108963,672-696 Bourke Street MELBOURNE 3000,Mail Exchange Hotel,600,144.95359044056096,-37.8166305854,"-37.8166305854, 144.95359044056096"
2015,108965,134-160 Spencer Street MELBOURNE 3000,The Savoy Tavern,594,144.95375200770002,-37.81738965100429,"-37.81738965100429, 144.95375200770002"
2012,108966,122-132 Spencer Street MELBOURNE 3000,Vibe Savoy Hotel Melbourne,40,144.95392973346546,-37.81777222815,"-37.81777222815, 144.95392973346546"
2007,108967,66-70 Spencer Street MELBOURNE 3000,The Batman's Hill Hotel,1500,144.95475962673038,-37.81942775489416,"-37.81942775489416, 144.95475962673038"
2005,108971,561-585 Flinders Lane MELBOURNE 3000,Holiday Inn On Flinders Melbourne,100,144.95511371743692,-37.820201437795866,"-37.820201437795866, 144.95511371743692"
2002,108972,10-22 Spencer Street MELBOURNE 3000,Explorers Inn,50,144.95525416628004,-37.82051068881513,"-37.82051068881513, 144.95525416628004"
2009,108973,85-161 Spencer Street DOCKLANDS 3008,Loco Bar,400,144.9522268967,-37.81841291093311,"-37.818412910933105, 144.9522268967"
2019,108977,25-31 Spring Street MELBOURNE 3000,HiHou,80,144.97410115885282,-37.814545339350005,"-37.814545339350005, 144.97410115885282"
2002,108983,103-137 Spring Street MELBOURNE 3000,Hard Rock Cafe,500,144.9729329718854,-37.811995901555065,"-37.811995901555065, 144.9729329718854"
2010,108986,161 Spring Street MELBOURNE 3000,European,703,144.9724296950647,-37.81095112325,"-37.81095112325, 144.9724296950647"
2003,108991,267-271 Spring Street MELBOURNE 3000,Elm's Family Hotel,200,144.97145390976615,-37.80861007304316,"-37.808610073043155, 144.97145390976615"
2004,109257,1-7 Swanston Street MELBOURNE 3000,Young & Jackson,470,144.96703233636947,-37.817357255280335,"-37.817357255280335, 144.96703233636947"
2010,109271,125-133 Swanston Street MELBOURNE 3000,The Hi -Fi Melbourne,800,144.9657990277468,-37.81472248695,"-37.81472248695, 144.9657990277468"
2012,109284,191-205 Swanston Street MELBOURNE 3000,The Swanston Hotel Grand Mercure - Tabaret,200,144.96501083590144,-37.8130993047,"-37.8130993047, 144.96501083590144"
2022,109292,243-249 Swanston Street MELBOURNE VIC 3000,Dodee Bbq,300,144.9647362546334,-37.8123009589,"-37.8123009589, 144.9647362546334"
2012,109302,281-287 Swanston Street MELBOURNE 3000,Mui Karaoke,243,144.96435885063997,-37.8114318327,"-37.811431832699995, 144.96435885063997"
2022,109304,301-303 Swanston Street MELBOURNE VIC 3000,Dom's,250,144.96419264487724,-37.8110777883,"-37.8110777883, 144.96419264487724"
2007,109309,319-323 Swanston Street MELBOURNE 3000,Rue Bebelons,100,144.96405767037385,-37.810765085811454,"-37.810765085811454, 144.96405767037385"
2008,109314,401-405 Swanston Street MELBOURNE 3000,The Order of Melbourne,420,144.96321775747032,-37.80904299005,"-37.80904299005, 144.96321775747032"
2002,109315,407-409 Swanston Street MELBOURNE 3000,Basement 407,150,144.963192113967,-37.8089570116272,"-37.8089570116272, 144.963192113967"
2003,109317,427-433 Swanston Street MELBOURNE 3000,The Oxford Scholar Hotel,486,144.96293756796908,-37.80846017511618,"-37.80846017511618, 144.96293756796908"
2020,109318,427-457 Swanston Street MELBOURNE VIC 3000,The Oxford Scholar Hotel,700,144.9626891397,-37.80826398196408,"-37.808263981964075, 144.9626891397"
2004,109366,594-600 Swanston Street CARLTON 3053,Plough and Harrow Hotel,400,144.96395480388765,-37.80277137275811,"-37.80277137275811, 144.96395480388765"
2014,109390,264-266 Swanston Street MELBOURNE 3000,Goldilocks,300,144.96514740335823,-37.81181061845,"-37.81181061845, 144.96514740335823"
2007,109392,248-258 Swanston Street MELBOURNE 3000,The Toff In Town,345,144.96528084701362,-37.811994212317146,"-37.811994212317146, 144.96528084701362"
2008,109413,146 Swanston Street MELBOURNE 3000,Cabinet Bar,100,144.9662271969642,-37.8141693107,"-37.814169310699995, 144.9662271969642"
2007,109436,27-29 Tattersalls Lane MELBOURNE 3000,Section 8 Bar Pty Ltd,100,144.96539897055217,-37.81176297225633,"-37.81176297225633, 144.96539897055217"
2011,109493,143-151 Therry Street MELBOURNE 3000,The Mercant Cross Hotel,1081,144.95839499835,-37.80790398358428,"-37.80790398358428, 144.95839499835"
2002,109512,146W-150W Toorak Road SOUTH YARRA 3141,United Kingdom Settlers Association,100,144.9843804943388,-37.83764654440955,"-37.83764654440955, 144.9843804943388"
2007,109706,297-307 Victoria Street WEST MELBOURNE 3003,Jawa Bar,40,144.95138561917568,-37.805643840406425,"-37.805643840406425, 144.95138561917568"
2020,109709,313 Victoria Street WEST MELBOURNE VIC 3003,Westwood Coffee & Wine,50,144.95109256005,-37.80556536116882,"-37.80556536116882, 144.95109256005"
2010,109710,315 Victoria Street WEST MELBOURNE 3003,Barber Bar,50,144.95104717110002,-37.8055655109825,"-37.8055655109825, 144.95104717110002"
2022,109714,345 Victoria Street WEST MELBOURNE VIC 3003,Benchwarmer,90,144.94996132195,-37.805462861815215,"-37.805462861815215, 144.94996132195"
2020,109822,368 Victoria Street NORTH MELBOURNE VIC 3051,Prudence Bar,80,144.9540541816,-37.805434361809134,"-37.805434361809134, 144.9540541816"
2006,109829,312-316 Victoria Street NORTH MELBOURNE 3051,Victoria Hotel,130,144.95571460962805,-37.80563375610747,"-37.80563375610747, 144.95571460962805"
2005,109842,240-248 Victoria Street NORTH MELBOURNE 3051,Central Club Hotel,150,144.95813211197202,-37.8059126341164,"-37.8059126341164, 144.95813211197202"
2005,109843,232-238 Victoria Street MELBOURNE 3000,The Public Bar Hotel,180,144.9585968320725,-37.80593464473581,"-37.80593464473581, 144.9585968320725"
2012,109952,7-9 Waratah Place MELBOURNE 3000,Manchuria,80,144.96699031788057,-37.81162488715,"-37.81162488715, 144.96699031788057"
2022,109954,15-19 Warburton Lane MELBOURNE VIC 3000,Murmur Piano Bar,70,144.9618461375,-37.81381261652099,"-37.81381261652099, 144.9618461375"
2022,109993,178-226 Wellington Parade EAST MELBOURNE VIC 3002,Hotel Pullman on The Park,280,144.98349853870505,-37.81582309925,"-37.81582309925, 144.98349853870505"
2022,109996,1-9 Powlett Street EAST MELBOURNE VIC 3002,Hemingway's,77,144.98483488812698,-37.8160871246,"-37.8160871246, 144.98483488812698"
2003,110106,263-267 William Street MELBOURNE 3000,Metropolitan On William Bar & Restaurant,300,144.95659301618502,-37.81292514670666,"-37.81292514670666, 144.95659301618502"
2009,110145,170-176 William Street MELBOURNE 3000,Chris's Daily Grind,50,144.95821984476856,-37.8149175536,"-37.8149175536, 144.95821984476856"
