bay_id,st_marker_id,status,location,lat,lon
5524,11981W,Unoccupied,"{'latitude': '-37.81427144972767', 'longitude': '144.98277676593383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81427144972767,144.98277676593383
5752,12442N,Present,"{'latitude': '-37.811847531344036', 'longitude': '144.9758455824391', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.811847531344036,144.9758455824391
3604,7552N,Present,"{'latitude': '-37.80596466609564', 'longitude': '144.9589088869089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80596466609564,144.9589088869089
5510,11953W,Unoccupied,"{'latitude': '-37.81499544968763', 'longitude': '144.98265330166902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81499544968763,144.98265330166902
983,910E,Present,"{'latitude': '-37.816862701910495', 'longitude': '144.96446077170123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.816862701910495,144.96446077170123
3610,7558N,Unoccupied,"{'latitude': '-37.806033996519375', 'longitude': '144.95867183356904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.806033996519375,144.95867183356904
5357,8895W,Unoccupied,"{'latitude': '-37.824542423653995', 'longitude': '144.96159306132756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.824542423653995,144.96159306132756
3040,5143W,Present,"{'latitude': '-37.80295473347809', 'longitude': '144.95692438957946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80295473347809,144.95692438957946
4384,C7202,Unoccupied,"{'latitude': '-37.807619066478324', 'longitude': '144.95279678011752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.807619066478324,144.95279678011752
4271,C6878,Unoccupied,"{'latitude': '-37.80937358030814', 'longitude': '144.95585125657686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80937358030814,144.95585125657686
6391,13638E,Unoccupied,"{'latitude': '-37.82031917698089', 'longitude': '144.9445537965233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.82031917698089,144.9445537965233
6045,13010N,Unoccupied,"{'latitude': '-37.81982751532851', 'longitude': '144.95122373557066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81982751532851,144.95122373557066
5917,12804N,Unoccupied,"{'latitude': '-37.802795489126595', 'longitude': '144.96721631450913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.802795489126595,144.96721631450913
5601,12221S,Present,"{'latitude': '-37.80945494058656', 'longitude': '144.97399416594155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80945494058656,144.97399416594155
6167,13224N,Present,"{'latitude': '-37.81878289674114', 'longitude': '144.94710275895125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81878289674114,144.94710275895125
3147,5329W,Present,"{'latitude': '-37.81066116658156', 'longitude': '144.95581668430805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81066116658156,144.95581668430805
5542,12017W,Unoccupied,"{'latitude': '-37.81323985591021', 'longitude': '144.98295410682363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81323985591021,144.98295410682363
3264,5820E,Unoccupied,"{'latitude': '-37.806897853481196', 'longitude': '144.953498051854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.806897853481196,144.953498051854
3635,7586N,Unoccupied,"{'latitude': '-37.80558417130324', 'longitude': '144.95415795040003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80558417130324,144.95415795040003
5361,8903W,Unoccupied,"{'latitude': '-37.82409822525305', 'longitude': '144.96211501714058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.82409822525305,144.96211501714058
