pipe_id,source,material,pipe_age,diameter_inches,length_feet,soil_corrosivity,num_previous_repairs,pressure_psi,zone,failure_probability,risk_score,risk_level,priority_rank,repair_cost,expected_loss,action
SYR-0923,Syracuse_Real_Data,steel,93,10,875.7,highly_corrosive,1,62.2,industrial,0.9900092204665008,99.0,CRITICAL,1,92496.0,91572.0,Immediate replacement within 30 days
SYR-0377,Syracuse_Real_Data,pvc,88,16,1376.3,highly_corrosive,2,114.9,residential,0.9823880248807688,98.2,CRITICAL,2,110104.0,108165.0,Immediate replacement within 30 days
SYR-0732,Syracuse_Real_Data,steel,85,16,1425.5,corrosive,2,85.6,residential,0.9811932569350084,98.1,CRITICAL,3,185315.0,181830.0,Immediate replacement within 30 days
SYR-0135,Syracuse_Real_Data,steel,98,12,493.4,corrosive,1,92.7,industrial,0.9798988850123006,98.0,CRITICAL,4,62538.0,61281.0,Immediate replacement within 30 days
SYR-0242,Syracuse_Real_Data,asbestos_cement,99,8,1430.0,corrosive,3,79.7,commercial,0.977545413289088,97.8,CRITICAL,5,214500.0,209683.0,Immediate replacement within 30 days
SYR-0384,Syracuse_Real_Data,cast_iron,91,10,1729.4,highly_corrosive,0,75.5,residential,0.9773316220074778,97.7,CRITICAL,6,162131.0,158456.0,Immediate replacement within 30 days
SYR-0632,Syracuse_Real_Data,ductile_iron,90,12,1555.3,highly_corrosive,2,96.1,residential,0.9755304940658516,97.6,CRITICAL,7,139977.0,136552.0,Immediate replacement within 30 days
SYR-0882,Syracuse_Real_Data,galvanized_steel,74,12,1168.6,moderately_corrosive,0,71.8,industrial,0.9730479248153694,97.3,CRITICAL,8,148120.0,144128.0,Immediate replacement within 30 days
SYR-0177,Syracuse_Real_Data,asbestos_cement,72,12,1213.0,corrosive,0,79.7,residential,0.9717514659618732,97.2,CRITICAL,9,181950.0,176810.0,Immediate replacement within 30 days
SYR-0672,Syracuse_Real_Data,galvanized_steel,90,6,1676.8,moderately_corrosive,1,45.0,industrial,0.9711281822321439,97.1,CRITICAL,10,106267.0,103199.0,Immediate replacement within 30 days
SYR-0481,Syracuse_Real_Data,galvanized_steel,65,10,1944.4,corrosive,1,53.9,commercial,0.9707046204456808,97.1,CRITICAL,11,236974.0,230032.0,Immediate replacement within 30 days
SYR-0442,Syracuse_Real_Data,cast_iron,102,12,1457.9,corrosive,0,61.0,commercial,0.9702169807979457,97.0,CRITICAL,12,246021.0,238694.0,Immediate replacement within 30 days
SYR-0257,Syracuse_Real_Data,cast_iron,97,12,321.4,corrosive,2,90.3,industrial,0.969030578925013,96.9,CRITICAL,13,47005.0,45549.0,Immediate replacement within 30 days
SYR-0409,Syracuse_Real_Data,concrete,92,10,1687.5,highly_corrosive,1,109.4,residential,0.9668763584000292,96.7,CRITICAL,14,116016.0,112173.0,Immediate replacement within 30 days
SYR-0003,Syracuse_Real_Data,galvanized_steel,72,8,989.7,highly_corrosive,1,105.1,commercial,0.9645866618794796,96.5,CRITICAL,15,96496.0,93079.0,Immediate replacement within 30 days
SYR-0008,Syracuse_Real_Data,galvanized_steel,86,24,1427.4,corrosive,0,57.9,commercial,0.963306009980148,96.3,CRITICAL,16,417514.0,402194.0,Immediate replacement within 30 days
SYR-0582,Syracuse_Real_Data,ductile_iron,102,12,1005.9,highly_corrosive,1,96.9,residential,0.9622942163888933,96.2,CRITICAL,17,90531.0,87117.0,Immediate replacement within 30 days
SYR-0470,Syracuse_Real_Data,asbestos_cement,99,8,1861.8,highly_corrosive,0,90.1,residential,0.9617166372051402,96.2,CRITICAL,18,186180.0,179052.0,Immediate replacement within 30 days
SYR-0854,Syracuse_Real_Data,galvanized_steel,97,20,792.4,non_corrosive,1,101.9,residential,0.9616969877723788,96.2,CRITICAL,19,128765.0,123833.0,Immediate replacement within 30 days
SYR-0595,Syracuse_Real_Data,asbestos_cement,91,12,1453.4,highly_corrosive,0,55.6,residential,0.9613135858101653,96.1,CRITICAL,20,218010.0,209576.0,Immediate replacement within 30 days
SYR-0990,Syracuse_Real_Data,asbestos_cement,85,16,1830.0,corrosive,1,89.0,residential,0.9610111329465584,96.1,CRITICAL,21,366000.0,351730.0,Immediate replacement within 30 days
SYR-0034,Syracuse_Real_Data,cast_iron,96,6,1332.9,corrosive,1,80.9,residential,0.9600873604251712,96.0,CRITICAL,22,74976.0,71984.0,Immediate replacement within 30 days
SYR-0893,Syracuse_Real_Data,galvanized_steel,89,12,1741.7,mildly_corrosive,1,44.1,residential,0.959522408485237,96.0,CRITICAL,23,169816.0,162942.0,Immediate replacement within 30 days
SYR-0216,Syracuse_Real_Data,cast_iron,44,10,1501.9,moderately_corrosive,2,48.7,commercial,0.9594936027783513,95.9,CRITICAL,24,211205.0,202650.0,Immediate replacement within 30 days
SYR-0265,Syracuse_Real_Data,cast_iron,91,16,1617.7,corrosive,3,70.0,residential,0.9593589428830631,95.9,CRITICAL,25,242655.0,232793.0,Immediate replacement within 30 days
SYR-0044,Syracuse_Real_Data,steel,91,6,99.6,highly_corrosive,0,86.2,industrial,0.9593376347916539,95.9,CRITICAL,26,6312.0,6055.0,Immediate replacement within 30 days
SYR-0307,Syracuse_Real_Data,steel,60,8,761.7,corrosive,4,63.3,mixed,0.958662708889377,95.9,CRITICAL,27,59413.0,56957.0,Immediate replacement within 30 days
SYR-0390,Syracuse_Real_Data,pvc,84,10,1702.8,highly_corrosive,0,111.5,residential,0.9581397746135146,95.8,CRITICAL,28,85140.0,81576.0,Immediate replacement within 30 days
SYR-0394,Syracuse_Real_Data,pvc,81,8,1715.3,corrosive,3,42.6,mixed,0.9581003919676125,95.8,CRITICAL,29,82334.0,78884.0,Immediate replacement within 30 days
SYR-0536,Syracuse_Real_Data,cast_iron,97,12,618.2,highly_corrosive,1,95.5,commercial,0.9580545919725874,95.8,CRITICAL,30,104321.0,99945.0,Immediate replacement within 30 days
SYR-0052,Syracuse_Real_Data,pvc,77,10,1011.5,highly_corrosive,2,103.0,industrial,0.9580478994781997,95.8,CRITICAL,31,65748.0,62990.0,Immediate replacement within 30 days
SYR-0627,Syracuse_Real_Data,cast_iron,53,20,977.1,highly_corrosive,0,70.2,industrial,0.9579028836609962,95.8,CRITICAL,32,238168.0,228142.0,Immediate replacement within 30 days
SYR-0472,Syracuse_Real_Data,asbestos_cement,99,6,1695.0,highly_corrosive,4,39.3,residential,0.9575908188127342,95.8,CRITICAL,33,127125.0,121734.0,Immediate replacement within 30 days
SYR-0187,Syracuse_Real_Data,steel,84,10,1139.0,highly_corrosive,5,36.7,mixed,0.9553264357162289,95.5,CRITICAL,34,111052.0,106091.0,Immediate replacement within 30 days
SYR-0140,Syracuse_Real_Data,concrete,102,20,1371.1,corrosive,0,88.0,residential,0.9551173578218222,95.5,CRITICAL,35,188526.0,180064.0,Immediate replacement within 30 days
SYR-0319,Syracuse_Real_Data,cast_iron,42,24,821.7,corrosive,1,107.9,mixed,0.9549702290674965,95.5,CRITICAL,36,221859.0,211869.0,Immediate replacement within 30 days
SYR-0981,Syracuse_Real_Data,cast_iron,49,6,962.8,corrosive,2,39.5,mixed,0.9548638048227089,95.5,CRITICAL,37,64989.0,62056.0,Immediate replacement within 30 days
SYR-0510,Syracuse_Real_Data,asbestos_cement,73,8,877.3,corrosive,2,60.9,residential,0.9547684611073712,95.5,CRITICAL,38,87730.0,83762.0,Immediate replacement within 30 days
SYR-0051,Syracuse_Real_Data,galvanized_steel,98,12,1637.0,highly_corrosive,0,45.8,industrial,0.9546346524452893,95.5,CRITICAL,39,207490.0,198077.0,Immediate replacement within 30 days
SYR-0524,Syracuse_Real_Data,cast_iron,85,12,1244.8,corrosive,3,65.2,commercial,0.9543922816467922,95.4,CRITICAL,40,210060.0,200480.0,Immediate replacement within 30 days
SYR-0706,Syracuse_Real_Data,cast_iron,102,16,1919.2,corrosive,0,83.9,mixed,0.9531900510125642,95.3,CRITICAL,41,345456.0,329285.0,Immediate replacement within 30 days
SYR-0396,Syracuse_Real_Data,galvanized_steel,98,10,1874.8,corrosive,1,74.3,residential,0.9529508429139897,95.3,CRITICAL,42,152328.0,145161.0,Immediate replacement within 30 days
SYR-0815,Syracuse_Real_Data,cast_iron,92,16,242.8,corrosive,1,70.9,mixed,0.9529005607236973,95.3,CRITICAL,43,43704.0,41646.0,Immediate replacement within 30 days
SYR-0869,Syracuse_Real_Data,cast_iron,93,10,1367.1,corrosive,0,94.0,commercial,0.9524525666357849,95.2,CRITICAL,44,192248.0,183107.0,Immediate replacement within 30 days
