Geography,Year,Gender,Age,Value
City of Melbourne,2021,Female,Age 0-4,1943
City of Melbourne,2023,Female,Age 0-4,2477
City of Melbourne,2026,Female,Age 0-4,3595
City of Melbourne,2028,Female,Age 0-4,4083
City of Melbourne,2034,Female,Age 0-4,5242
City of Melbourne,2037,Female,Age 0-4,5521
City of Melbourne,2038,Female,Age 0-4,5608
City of Melbourne,2021,Male,Age 0-4,2107
City of Melbourne,2024,Male,Age 0-4,3056
City of Melbourne,2025,Male,Age 0-4,3477
City of Melbourne,2038,Male,Age 0-4,6082
City of Melbourne,2040,Male,Age 0-4,6253
City of Melbourne,2021,Female,Age 5-9,1440
City of Melbourne,2023,Female,Age 5-9,1384
City of Melbourne,2026,Female,Age 5-9,1595
City of Melbourne,2031,Female,Age 5-9,3314
City of Melbourne,2033,Female,Age 5-9,3722
City of Melbourne,2040,Female,Age 5-9,4787
City of Melbourne,2022,Male,Age 5-9,1381
City of Melbourne,2023,Male,Age 5-9,1362
City of Melbourne,2025,Male,Age 5-9,1456
City of Melbourne,2032,Male,Age 5-9,3473
City of Melbourne,2036,Male,Age 5-9,4211
City of Melbourne,2038,Male,Age 5-9,4516
City of Melbourne,2028,Female,Age 10-14,977
City of Melbourne,2031,Female,Age 10-14,1113
City of Melbourne,2034,Female,Age 10-14,2021
City of Melbourne,2040,Female,Age 10-14,3347
City of Melbourne,2041,Female,Age 10-14,3504
City of Melbourne,2025,Male,Age 10-14,1038
City of Melbourne,2026,Male,Age 10-14,1074
City of Melbourne,2027,Male,Age 10-14,1036
City of Melbourne,2038,Male,Age 10-14,3167
City of Melbourne,2021,Female,Age 15-19,4245
City of Melbourne,2026,Female,Age 15-19,5518
City of Melbourne,2029,Female,Age 15-19,5754
City of Melbourne,2037,Female,Age 15-19,6414
City of Melbourne,2038,Female,Age 15-19,6782
City of Melbourne,2039,Female,Age 15-19,7155
City of Melbourne,2024,Male,Age 15-19,3737
City of Melbourne,2031,Male,Age 15-19,5208
City of Melbourne,2032,Male,Age 15-19,5194
City of Melbourne,2035,Male,Age 15-19,5312
City of Melbourne,2040,Male,Age 15-19,6736
City of Melbourne,2029,Female,Age 20-24,20304
City of Melbourne,2038,Female,Age 20-24,21533
City of Melbourne,2040,Female,Age 20-24,21716
City of Melbourne,2021,Male,Age 20-24,15793
City of Melbourne,2025,Male,Age 20-24,14869
City of Melbourne,2028,Male,Age 20-24,17433
City of Melbourne,2034,Male,Age 20-24,19573
City of Melbourne,2035,Male,Age 20-24,19560
City of Melbourne,2040,Male,Age 20-24,19777
City of Melbourne,2021,Female,Age 25-29,17389
City of Melbourne,2023,Female,Age 25-29,16555
City of Melbourne,2024,Female,Age 25-29,16572
