split,image,vehicle_count,haze_score_dcp
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/dusttornado-021.jpg,5,0.8318
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-008.jpg,2,0.3441
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-031.jpg,3,0.5112
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-035.jpg,4,0.3273
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-037.jpg,7,0.2691
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-049.jpg,5,0.5504
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-051.jpg,2,0.5027
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-058.jpg,12,0.5532
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-079.jpg,5,0.5219
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-089.jpg,2,0.5047
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-090.jpg,8,0.6055
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-098.jpg,11,0.2715
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-104.jpg,4,0.3585
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-105.jpg,2,0.3291
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-109.jpg,4,0.4267
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/foggy-114.jpg,1,0.4748
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-002.jpg,1,0.483
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-031.jpg,1,0.8694
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-049.jpg,1,0.9416
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-069.jpg,16,0.4608
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-075.jpg,4,0.4198
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-080.jpg,3,0.3886
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-115.jpg,8,0.5873
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-128.jpg,3,0.3886
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/haze-148.jpg,6,0.4927
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-009.jpg,6,0.6802
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-016.jpg,41,0.7613
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-020.jpg,8,0.4232
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-024.jpg,6,0.4921
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-035.jpg,50,0.3772
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-046.jpg,5,0.5833
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-068.jpg,19,0.5935
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-122.jpg,3,0.6474
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-133.jpg,3,0.3243
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-150.jpg,35,0.6946
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/mist-955.jpg,8,0.3246
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-002.jpg,6,0.6227
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-126.jpg,3,0.6066
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-142.jpg,1,0.5178
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-158.jpg,1,0.5469
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-207.jpg,2,0.6076
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-229.jpg,3,0.5922
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-241.jpg,3,0.5484
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-253.jpg,4,0.6358
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-277.jpg,19,0.4424
